razao	cliente	bairro	cidade	uf	pre	logradouro	numero	cep	endereco	Latitude	Longitude	Endereco Formatado
Angela Leticia Manzatto Me	Angela Leticia Manzatto Me	Vl. Paulista	Bauru	SP	Av	Castelo Branco	nov/37	17052005	Av. Castelo Branco, 11-37 - Vl. Paulista, Bauru - Bauru, Brasil	-22,3404581	-49,0917721	Av. Castelo Branco, 11-37 - Vila Independencia, Bauru - SP, 17052-000, Brazil
Angela Rosa Delfino do Amaral ME	Angela Rosa Delfino Do Amaral ME	Pq.Regina	São Paulo	SP	R	Nelson Brissac	900	5773110	R. Nelson Brissac, 900 - Pq.Regina, São Paulo - São Paulo, Brasil			
Angeleli Materiais p/ Construção Ltda ME	Angeleli Mat Const	Pq Água Branca	Piracicaba	SP	Av	Miguel Caparros 	222	13424700	Av. Miguel Caparros , 222 - Pq Água Branca, Piracicaba - Piracicaba, Brasil	-22,7687852	-47,6326931	Av. Miguel Caparros, 301 - Agua Branca, Piracicaba - SP, 13426-145, Brazil
Angelo Donizeti Saia ME	Angelo Donizeti Saia ME	Centro	Nuporanga	SP	R	Voluntário Etelvino Borges	461-A	14670000	R. Voluntário Etelvino Borges, 461-A - Centro, Nuporanga - Nuporanga, Brasil	-20,7318129	-47,7524827	R. Voluntário Etelvino Borges, 461 - Centro, Nuporanga - SP, 14670-000, Brazil
Angelo Menegalle & Filho Ltda EPP	Angelo Menegalle & Filho Ltda EPP	Vl Independência	Piracicaba	SP	R	Prof Jose B Camargo 	64	13405190	R. Prof Jose B Camargo , 64 - Vl Independência, Piracicaba - Piracicaba, Brasil	-22,7238578	-47,6322597	R. Prof. José Benedito de Camargo, 64 - Vila Monteiro, Piracicaba - SP, 13418-400, Brazil
Angelo Paiotti Com Atac Varej Mat Construção	Angelo Paiotti Com.	Centro	Pilar do Sul	SP	R	Dom Lucio Antunes de Souza	603	18185000	R. Dom Lucio Antunes de Souza, 603 - Centro, Pilar do Sul - Pilar do Sul, Brasil	-23,8108455	-47,7124096	R. Dom Lúcio Antunes Souza, 603, Pilar do Sul - SP, 18185-000, Brazil
Angelus Bazar e Mat p/ Construção Ltda Epp	Angelus Bazar e Materiais Construção	Centro	Ibiúna	SP	R	Cel Salvador Rolim Freitas	138	18150000	R. Cel Salvador Rolim Freitas, 138 - Centro, Ibiúna - Ibiúna, Brasil	-23,6574276	-47,2230213	R. Cel. Salvador Rolim de Freitas, 138 - Centro, Ibiúna - SP, 18150-000, Brazil
Angilbloco Com e Ind de Mat Constr Ltda	Angilbloco Com Ind Mat Constr Ltda	Jd. Soraia	São Paulo	SP	Estr	Mogi das Cruzes	1563	3890100	Estr. Mogi das Cruzes, 1563 - Jd. Soraia, São Paulo - São Paulo, Brasil	-23,5146128	-46,4871073	Estr. de Mogi das Cruzes, 1563 - Jardim Soraia, São Paulo - SP, 03892-030, Brazil
Antonio & Roberto Ltda Me	Antonio & Roberto	Cidade Ademar	São Paulo	SP	Av	Cupece 	3908	4366001	Av. Cupece , 3908 - Cidade Ademar, São Paulo - São Paulo, Brasil	-23,6702651	-46,6482578	Av. Cupecê, 3908 - Jardim Prudência, São Paulo - SP, 04366-001, Brazil
Antonio Abrahao Neto ME	Antonio Abrahao Neto ME	Centro	Santo Antônio da Alegria	SP	R	Eduardo Beluti	577	14390000	R. Eduardo Beluti, 577 - Centro, Santo Antônio da Alegria - Santo Antônio da Alegria, Brasil	-21,0925808	-47,1539044	Rua Eduardo Belutti, 577, Santo Antônio da Alegria - SP, 14390-000, Brazil
Antônio Afonso Dias Nascimento EPP	Antonio Afonso Dias Nascimento EPP	Jd. Primor	Araraquara	SP	R	Mauricio Galli 	652	14806155	R. Mauricio Galli , 652 - Jd. Primor, Araraquara - Araraquara, Brasil	-21,7625135	-48,1634349	R. Maurício Galli, 652, Araraquara - SP, 14806-863, Brazil
Antonio Amaral Nunes EPP	Antonio Amaral Nunes	Cidade Lider	São Paulo	SP	R	Jeronimo de Barros	356	8280180	R. Jeronimo de Barros, 356 - Cidade Lider, São Paulo - São Paulo, Brasil	-23,5607094	-46,4746571	R. Jerônimo de Barros, 356 - Cidade Líder, São Paulo - SP, 08280-180, Brazil
Antonio Carlos Da Silva Construção Ltda Epp	Antonio C Silva - Rede - SP-Casa V Mais	Pq. São Domingos	Pindamonhangaba	SP	R	Cap Vitório Basso	1130	12410010	R. Cap Vitório Basso, 1130 - Pq. São Domingos, Pindamonhangaba - Pindamonhangaba, Brasil	-22,936734	-45,452116	R. Cap. Vitório Basso, 1130 - São Benedito, Pindamonhangaba - SP, 12410-010, Brazil
Antônio Carlos de Almeida Bom Jesus EPP	Antonio C de Almeida Bom Jesus	Guaxinduva	Piracaia	SP	Rod	Jan Antonin Bata	S/n	12970000	Rod. Jan Antonin Bata, S/n - Guaxinduva, Piracaia - Piracaia, Brasil			
Antônio Carlos de Almeida Bom Jesus EPP	Antonio Carlos de Almeida - Bom Jesus	Centro	Bom Jesus dos Perdões	SP	Av	Tiradentes	35	12955000	Av. Tiradentes, 35 - Centro, Bom Jesus dos Perdões - Bom Jesus dos Perdões, Brasil	-23,1329629	-46,4663556	Av. Tiradentes, 35 - Centro, Bom Jesus dos PerdõEs - SP, 12955-000, Brazil
Antônio Cloves Macedo Santos Júnior - ME	Casa da Construção	Jauá	Camaçari	BA	R	Do Flamengo	6	42843000	R. Do Flamengo, 06 - Jauá, Camaçari - Camaçari, Brasil	-12,8264777	-38,2230781	Camaçari - State of Bahia, Brazil
Antônio Cristóvão Dias Me	Antônio Cristóvão Dias	Tatuape	São Paulo	SP	Av	Celso Garcia	4514	3064000	Av. Celso Garcia, 4514 - Tatuape, São Paulo - São Paulo, Brasil	-23,5349263	-46,5689749	Av. Celso Garcia, 4514 - Tatuapé, São Paulo - SP, 03064-000, Brazil
Antonio da Rocha Prates                      	Bererê Materiais de Construção	Amaralina	Bom Jesus da Lapa	BA	Av	Agenor Magalhães	1015	47600000	Av. Agenor Magalhães, 1015 - Amaralina, Bom Jesus da Lapa - Bom Jesus da Lapa, Brasil	-13,2516341	-43,4082179	Av. Agenor Magalhães, 499, Bom Jesus da Lapa - BA, 47600-000, Brazil
Antonio Fernandes Barbosa Mat de Construção	Antonio F Barbosa Mat de Construção	Centro	Pombal	PB	R	Argemiro de Souza	155	58840000	R. Argemiro de Souza, 155 - Centro, Pombal - Pombal, Brasil	-6,7704379	-37,8047805	R. Argemiro de Souza, 155, Pombal - PB, 58840-000, Brazil
Antônio Kalil El Dib Me	Antonio Kalil El Dib Me	J Independência	Ribeirão Preto	SP	Av	Mogiana 	2462	14076400	Av. Mogiana , 2462 - J Independência, Ribeirão Preto - Ribeirão Preto, Brasil	-21,1513659	-47,7820926	Av. Mogiana, 2462 - Vila Mariana, Ribeirão Preto - SP, 14076-400, Brazil
Antonio Machado Depósito ME	Antonio Machado Depósito Me.	Vl.Bela	São Paulo	SP	R	Giestas	980	3147001	R. Giestas, 980 - Vl.Bela, São Paulo - São Paulo, Brasil	-23,5964569	-46,5707261	Rua Giestas, 980 - Vila Bela, São Paulo - SP, 03147-001, Brazil
Antônio Marcos Clementino da Silva ME	Antônio M Clementino da Silva ME	Jd Paineiras	Ibitinga	SP	R	Dionizio Catalano 	474	14940000	R. Dionizio Catalano , 474 - Jd Paineiras, Ibitinga - Ibitinga, Brasil	-21,7533425	-48,8367797	Av. Japão, 533 - Jardim Paulista, Ibitinga - SP, 14940-000, Brazil
Antônio Mineto & Filho Ltda Epp	Antonio Mineto & Filho Ltda Epp	Centro	Cerqueira César	SP	R	Cap Moura Leite 	170	18760000	R. Cap Moura Leite , 170 - Centro, Cerqueira César - Cerqueira César, Brasil	-23,0345758	-49,1629072	R. Cap. Moura Leite, 170 - Centro, Cerqueira César - SP, 18760-000, Brazil
Antonio Osvaldo Teixeira ME	Antonio Osvaldo Teixeira                	Centro	Mombaça	CE	R	Jaime Benevides	378	63610000	R. Jaime Benevides, 378 - Centro, Mombaça - Mombaça, Brasil	-5,7483269	-39,6288165	R. Jaime Benevides, 378 - Centro, Mombaça - CE, 63610-000, Brazil
Antonio Pereira da Silva & Cia Ltda ME	Antonio Pereira da Silva & Cia Ltda	Centro	Jaguapitã	PR	Av	Minas Gerais 	210	86610000	Av. Minas Gerais , 210 - Centro, Jaguapitã - Jaguapitã, Brasil	-23,1093678	-51,5318906	R. Minas Gerais, 210, Jaguapitã - PR, 86610-000, Brazil
Antunes Com Materiais p/ Construção Ltda	Antunes Com Mat	Rio Tavares	Florianópolis	SC	Rod	SC 405	4500	88063600	Rod. SC 405, 4500 - Rio Tavares, Florianópolis - Florianópolis, Brasil	-27,6613536	-48,50116	SC-405 - Rio Tavares, Florianópolis - SC, Brazil
Ao Mundo das Tintas Ltda	Ao Mundo das Tintas Ltda	Vl.Santa Teresa	São Paulo	SP	Av	Paraguassu Paulista 	822	3564000	Av. Paraguassu Paulista , 822 - Vl.Santa Teresa, São Paulo - São Paulo, Brasil	-23,53767	-46,4907189	Av. Paraguassu Paulista, 822 - Vila Santa Teresa, São Paulo - SP, Brazil
AP Comércio de Tintas Ltda Me	AP Com de Tintas-Rede-MG-Casa Mais	Centro	Três Corações	MG	Pc	Tiradentes	3	37410000	Pc. Tiradentes, 3 - Centro, Três Corações - Três Corações, Brasil	-21,6950283	-45,2515122	Praça Tiradentes - Vila Gesse, Três Corações - MG, 37410-000, Brazil
Aparecida D dos Santos Souza Franca ME	Aparecida D dos Santos Souza Franca	Jd. Florida	Franca	SP	R	Das Primaveras	2031	14403267	R. Das Primaveras, 2031 - Jd. Florida, Franca - Franca, Brasil	-20,5724402	-47,3777116	R. das Primaveras, 2031 - Recanto Elimar, Franca - SP, 14403-267, Brazil
Aparecido Lopes Pereira Construção Me	Aparecido Lopes Pereira.	Pq.Savoi City	São Paulo	SP	R	Luis Norberto Freire 	279	3585150	R. Luis Norberto Freire , 279 - Pq.Savoi City, São Paulo - São Paulo, Brasil	-23,5687519	-46,4909654	R. Luís Norberto Freire, 279 - Jardim Brasilia, São Paulo - SP, 03585-150, Brazil
Aparecido Martins da Conceição ME	Aparecido Martins Da Conceição	Bom Jesus	Diamantina	MG	R	Elvira Ramos Couto	65	39100000	R. Elvira Ramos Couto, 65 - Bom Jesus, Diamantina - Diamantina, Brasil			
Aparecido Ramalho Santos Indaiatuba Me	Aparecido Ramalho Santos Indaiatuba	Jd. Morada Do Sol	Indaiatuba	SP	R	João Martini	841	13348350	R. João Martini, 841 - Jd. Morada Do Sol, Indaiatuba - Indaiatuba, Brasil	-23,1244003	-47,2434709	R. João Martini, 841 - Jardim Morada do Sol, Indaiatuba - SP, 13348-350, Brazil
Apiguana Máquinas e Ferramentas Ltda	Apiguana - Maracanaú/CE	Pajuçara	Maracanaú	CE	R	Dr Mendel Steinbruch	7975	61932971	R. Dr Mendel Steinbruch, 7975 - Pajuçara, Maracanaú - Maracanaú, Brasil	-3,8451019	-38,5852082	Av. Dr. Mendel Steinbruch, 7975 - Pajuçara, Maracanaú - CE, Brazil
Apoio R B S Comercial Ltda Me	Apoio R B S Coml Ltda Me	Pq. Turístico	Peruíbe	SP	Av	Luciano de Bona	1930	11750000	Av. Luciano de Bona, 1930 - Pq. Turístico, Peruíbe - Peruíbe, Brasil	-24,3029333	-46,9896122	Av. Luciano de Bona, 1930 - Centro, Peruíbe - SP, 11750-000, Brazil
Apollo Materiais Construção Sorocaba Ltda Me	Apollo Mat Constr Sorocaba Ltda Me	Éden	Sorocaba	SP	Av	Independência	4947	18103000	Av. Independência, 4947 - Éden, Sorocaba - Sorocaba, Brasil	-23,4209638	-47,4117373	Av. Independência, 4947 - Éden, Sorocaba - SP, Brazil
Apparecido Moreira ME	Apparecido Moreira ME	Centro	Aparecida	SP	R	Ver Oswaldo Elache	55	12570000	R. Ver Oswaldo Elache, 55 - Centro, Aparecida - Aparecida, Brasil	-22,8488245	-45,2292271	R. Ver. Oswaldo Elache, 55, Aparecida - SP, 12570-000, Brazil
Aquarela Guaçu Comércio deTintas Ltda	Aquarela Guaçu Com Tintas Ltda	Pq Indl M Guaçu	Mogi Guaçu	SP	Av	Eng Ronaldo A G Pereira	101	13849210	Av. Eng Ronaldo A G Pereira, 101 - Pq Indl M Guaçu, Mogi Guaçu - Mogi Guaçu, Brasil	-22,3044219	-46,9690809	Av. Eng. Ronaldo Algodoal Guedes Pereira, 101 - Parque Industrial Mogi Guacu, Mogi Guaçu - SP, 13849-208, Brazil
Aquarela Guacu Comécio Tintas Ltda	Aquarela Guacu Comécio Tintas Ltda	Centro	Araraquara	SP	Av	Quinze de Novembro	608	14801030	Av. Quinze de Novembro, 608 - Centro, Araraquara - Araraquara, Brasil	-21,7971996	-48,1772033	Av. Quinze de Novembro, 608 - Centro, Araraquara - SP, 14801-030, Brazil
Aquarum Comércio Mat Construções Ltda Me	Aquarum Com Mat Construções	Pirituba	São Paulo	SP	R	Agarum 	S/n	2945050	R. Agarum , S/n - Pirituba, São Paulo - São Paulo, Brasil	-23,4856876	-46,7253265	R. Agarum - Jardim Cidade Pirituba, São Paulo - SP, Brazil
Arabim Materiais para Construção Ltda	Arabim Materiais para Construção	Bandeirantes	Votuporanga	SP	R	Padre Izidoro C Paranhos	2774	15502225	R. Padre Izidoro C Paranhos, 2774 - Bandeirantes, Votuporanga - Votuporanga, Brasil	-20,4205477	-49,9775528	R. Padre Isidóro Cordeiro Paranhos, 2774 - Chácara das Paineiras, Votuporanga - SP, 15502-225, Brazil
Aracaju Material de Construção Ltda Epp	Aracaju Mat Constr Ltda	Bom Retiro	Joinville	SC	R	Assis Brasil	259	89221510	R. Assis Brasil, 259 - Bom Retiro, Joinville - Joinville, Brasil	-26,275316	-48,84374	R. Assis Brasil, 259 - Saguaçu, Joinville - SC, 89221-510, Brazil
Aracati P Cosmopolitan Três Poderes SPE8 Ltda	Aracati Projeto	Três Poderes	Imperatriz	MA	R	Sergipe	54	65903000	R. Sergipe, 54 - Três Poderes, Imperatriz - Imperatriz, Brasil	-5,5150323	-47,4815486	Rua Sergipe, 54 - Santa Rita, Imperatriz - MA, Brazil
Araguaia Comércio Material Constr Ltda Epp	Araguaia Com Mat Constr Ltda	Vl. Chico Júlio	Franca	SP	R	Carlos de Vilhena	3466	14405203	R. Carlos de Vilhena, 3466 - Vl. Chico Júlio, Franca - Franca, Brasil	-20,5218127	-47,4066511	R. Carlos de Vilhena, 3466 - Estacao, Franca - SP, 14405-203, Brazil
Araguari Construções Ltda	Araguari Construções Ltda	Rosário	Araguari	MG	Av	Mato Grosso 	987	38445072	Av. Mato Grosso , 987 - Rosário, Araguari - Araguari, Brasil	-18,6409974	-48,18329	Av. Mato Grosso, 987 - Centro, Araguari - MG, Brazil
Arapiraca Material de Construção Ltda	Arapiraca Construções	São Luiz	Arapiraca	AL	R	Sebastião Luiz Pereira	62	57301392	R. Sebastião Luiz Pereira, 62 - São Luiz, Arapiraca - Arapiraca, Brasil	-9,7686792	-36,645189	R. Sebastião Luís Pereira, 62 - São Luiz, Arapiraca - AL, Brazil
Araújo & Neto Ferramentas Ltda Me	Araujo & Neto Ferram Ltda Me	Centro	Casa Branca	SP	R	Luiz Pizza 	82	13700000	R. Luiz Pizza , 82 - Centro, Casa Branca - Casa Branca, Brasil	-21,7775888	-47,0836939	R. Luís Piza, 82 - Jardim Paulista, Casa Branca - SP, 13700-000, Brazil
Araújo Cabral & Alves Ltda	Acal - CE - Rodolfo Teófilo	Rodolfo Teófilo	Fortaleza	CE	R	Cap Francisco Pedro	300	60430375	R. Cap Francisco Pedro, 300 - Rodolfo Teófilo, Fortaleza - Fortaleza, Brasil	-3,7425932	-38,5449202	Rua Capitão Francisco Pedro, 300 - Rodolfo Teófilo, Fortaleza - CE, 60430-375, Brazil
Araújo Casa e Construção Ltda	Araujo Casa e Construção	Canaa	Ipatinga	MG	Av	Minas Gerais 	163	35164192	Av. Minas Gerais , 163 - Canaa, Ipatinga - Ipatinga, Brasil	-19,4595248	-42,5534585	Av. Minas Gerais, 163 - Canaã, Ipatinga - MG, Brazil
ARBS Dep de Mat p/ Construção Ltda ME	A R B S Dep Mat Constr Ltda Me	Butantã	São Paulo	SP	Estr	Das Cachoeiras 	917	5356000	Estr. Das Cachoeiras , 917 - Butantã, São Paulo - São Paulo, Brasil	-23,5882328	-46,6766904	R. João Cachoeira, 917 - Vila Nova Conceição, São Paulo - SP, 04535-008, Brazil
ARBS Dep de Mat p/ Construção Ltda ME	ARBS Dep	Vl.Lageado	São Paulo	SP	R	Cangati	45	5343050	R. Cangati, 45 - Vl.Lageado, São Paulo - São Paulo, Brasil	-23,5558377	-46,7499588	R. Cangati, 45 - Vila Lageado, São Paulo - SP, 05343-050, Brazil
Arcanjo S Comercio de Mat Constr Ltda ME	Arcanjo S Com Mat Constr Ltd	Jd. Antomar	Francisco Morato	SP	R	Arcilio Federzoni 	260	7985170	R. Arcilio Federzoni , 260 - Jd. Antomar, Francisco Morato - Francisco Morato, Brasil	-23,2742233	-46,730773	R. Arcílio Federzoni, 718 - Jardim Vassouras, Francisco Morato - SP, 07951-310, Brazil
Arco Iris Com de Material de Construção Ltda	Arco Iris Material de Construção	Jd Guanabara	Fortaleza	CE	Av	Mozart Pinheiro de Lucena	1744	60347440	Av. Mozart Pinheiro de Lucena, 1744 - Jd Guanabara, Fortaleza - Fortaleza, Brasil	-3,7177941	-38,5956842	Av. Mozart Pinheiro de Lucena, 1744 - Vila Velha, Fortaleza - CE, 60347-452, Brazil
Arco Íris Comércio de Tintas Ltda EPP	Arco Iris Com Tintas Ltda EPP	Centro	Araguaína	TO	R	Primeiro de Janeiro	1616	77803140	R. Primeiro de Janeiro, 1616 - Centro, Araguaína - Araguaína, Brasil	-7,1933943	-48,2063164	Av. 1º de Janeiro, 1616 - St. Central, Araguaína - TO, 77803-140, Brazil
Arduino Nardelli e Filhos Ltda Me	Arduino Nardelli e Filhos	Centro	Rio do Sul	SC	Av	Oscar Barcelos 	110	89160000	Av. Oscar Barcelos , 110 - Centro, Rio do Sul - Rio do Sul, Brasil	-27,2162015	-49,6426261	Av. Oscar Barcelos, 110 - Centro, Rio do Sul - SC, 89160-027, Brazil
Areias & Areias Ltda EPP	Areias & Areias Ltda EPP	Dist. Industrial	Itapuí	SP	Av	Paes de Barros	897	17230000	Av. Paes de Barros, 897 - Dist. Industrial, Itapuí - Itapuí, Brasil			
Arena Tintas Ltda	Arena Tintas	Vl.Mendonça	Araçatuba	SP	R	Floriano Peixoto	263	16010400	R. Floriano Peixoto, 263 - Vl.Mendonça, Araçatuba - Araçatuba, Brasil	-21,2058241	-50,4358137	R. Floriano Peixoto, 263 - Centro, Araçatuba - SP, 16010-220, Brazil
Arenor Distribuição e Construção Ltda	Arenor Distr Const L-Rede-RS-Construir	Distr Industrial	São Martinho	RS	Estr	RS 210	55	98690000	Estr. RS 210, 55 - Distr Industrial, São Martinho - São Martinho, Brasil			
Argolo Com de Mat de Construção Ltda	Argolo Com de Mat de Construção	Pq.Ipê	Feira de Santana	BA	R	Portuguesa de Desportos	650	44054552	R. Portuguesa de Desportos, 650 - Pq.Ipê, Feira de Santana - Feira de Santana, Brasil	-12,214374	-38,960094	R. Portuguesa de Desportos, 650 - Parque Ipe, Feira de Santana - BA, 44054-552, Brazil
Argos Material de Construção Ltda EPP	Argos Mat Constr Ltda	Quarenta Horas	Ananindeua	PA	Rod	dos Trabalhadores	S/n	67120527	Rod. dos Trabalhadores, S/n - Quarenta Horas, Ananindeua - Ananindeua, Brasil	-1,3476176	-48,4109103	Passagem Trabalhadores - Quarenta Horas (Coqueiro), Ananindeua - PA, 67120-527, Brazil
Arlindo Carreira & Cia Ltda	Arlindo Carreira & Cia	Bom Jesus	Leme	SP	Av	Dr Jambeiro Costa 	1755	13610236	Av. Dr Jambeiro Costa , 1755 - Bom Jesus, Leme - Leme, Brasil	-22,2032359	-47,3925389	Av. Dr. Jambeiro Costa, 1755 - Jardim Sao Jose, Leme - SP, Brazil
Arlindo Moreira da Costa Me	Arlindo Moreira da Costa	Pq. João Ramalho	Santo André	SP	R	Pindorama 	425	9290130	R. Pindorama , 425 - Pq. João Ramalho, Santo André - Santo André, Brasil	-23,6450966	-46,5071058	R. Pindorama, 425 - Parque João Ramalho, Santo André - SP, 09290-130, Brazil
Armani Soluções Construtivas Ltda EPP	Armani Soluções Construtivas	Centro	Campinas	SP	R	Visconde do Rio Branco	580	13013091	R. Visconde do Rio Branco, 580 - Centro, Campinas - Campinas, Brasil	-22,9054754	-47,065095	Rua Visconde do Rio Branco, 580 - Centro, Campinas - SP, 13013-060, Brazil
Armazém Boa Viagem Ltda	Armazém Boa Viagem	Boa Viagem	Recife	PE	Av	Conselheiro Aguiar	980	51011030	Av. Conselheiro Aguiar, 980 - Boa Viagem, Recife - Recife, Brasil	-8,0991637	-34,8859052	Av. Conselheiro Aguiar, 980 - Pina, Recife - PE, Brazil
Armazém Com de Mat para Cons e Ferragens Ltda	Armazém da Construção	Águas Claras	Salvador	BA	R	Dr. Jorge Costa Andrade	210	41310260	R. Dr. Jorge Costa Andrade, 210 - Águas Claras, Salvador - Salvador, Brasil	-12,8914536	-38,4381462	R. Dr. Jorge Costa Andrade, 210 - Águas Claras, Salvador - BA, 41310-260, Brazil
Armazém Comercial Novo Lar Ltda	Armazém Comercial Novo Lar	Barro	Recife	PE	Av	Dr José Rufino	1349	50780000	Av. Dr José Rufino, 1349 - Barro, Recife - Recife, Brasil	-8,0911815	-34,9352002	Av. Dr. José Rufino, 1349 - Areias, Recife - PE, 50780-000, Brazil
Armazém Comércio e Imp de Mat de Construção	Armazém da Construção	Centro	Olho d´Água das Flores	AL	Av	Rui Barbosa	279	57442000	Av. Rui Barbosa, 279 - Centro, Olho d´Água das Flores - Olho d´Água das Flores, Brasil	-9,5408853	-37,2929362	Av. Rui Barbosa, 279, Olho d'Água das Flores - AL, 57442-000, Brazil
Armazém Coral Ltda	Armazem Coral -  Camaragibe	Centro	Camaragibe	PE	Av	Dr Belmino Correia	1415	54762000	Av. Dr Belmino Correia, 1415 - Centro, Camaragibe - Camaragibe, Brasil	-8,0203937	-34,9814449	R. Belmiro Corrêa, 1415 - Timbi, Camaragibe - PE, 54765-130, Brazil
Armazém Coral Ltda	Armazém Coral - Abreu e Lima	Centro	Abreu e Lima	PE	Rod	BR-101 Norte	S/N	53550520	Rod. BR-101 Norte, S/N - Centro, Abreu e Lima - Abreu e Lima, Brasil	-7,877883	-34,9054632	Rodovia Br-101 Norte, 258 A - Timbó, Abreu e Lima - PE, 53520-015, Brazil
Armazém Coral Ltda	Armazém Coral - Afogados	Afogados	Recife	PE	Estr	dos Remédios	368	50750010	Estr. dos Remédios, 368 - Afogados, Recife - Recife, Brasil	-8,0769209	-34,9071661	Estr. dos Remédios, 368 - Afogados, Recife - PE, Brazil
Armazém Coral Ltda	Armazém Coral - Afogados/PE	Afogados	Recife	PE	R	São Miguel	1485	50850000	R. São Miguel, 1485 - Afogados, Recife - Recife, Brasil	-8,0809952	-34,9198526	R. São Miguel, 1485 - Afogados, Recife - PE, 50850-275, Brazil
Armazém Coral Ltda	Armazém Coral - Arruda	Arruda	Recife	PE	Av	Beberibe	1310	52120000	Av. Beberibe, 1310 - Arruda, Recife - Recife, Brasil	-8,0257102	-34,8929769	Av. Beberibe, 1310 - Arruda, Recife - PE, 52130-000, Brazil
Armazém Coral Ltda	Armazém Coral - B Novo	Bairro Novo	Olinda	PE	Av	Getúlio Vargas	444	53040010	Av. Getúlio Vargas, 444 - Bairro Novo, Olinda - Olinda, Brasil	-8,0080334	-34,8416345	Av. Getúlio Vargas, 444 - Bairro Novo, Olinda - PE, 53030-010, Brazil
Armazém Coral Ltda	Armazém Coral - Boa Viagem	Boa Viagem	Recife	PE	Av	Domingos Ferreira	4811/4793	51021000	Av. Domingos Ferreira, 4811/4793 - Boa Viagem, Recife - Recife, Brasil	-8,1295105	-34,9018401	Av. Domingos Ferreira, 4811 - Boa Viagem, Recife - PE, 51020-030, Brazil
Armazém Coral Ltda	Armazém Coral - Cajueiro	Porto da Madeira	Recife	PE	Av	Cidade de Monteiro	380	52221210	Av. Cidade de Monteiro, 380 - Porto da Madeira, Recife - Recife, Brasil	-8,0076437	-34,8873127	Av. Cidade de Monteiro, 380 - Cajueiro, Recife - PE, Brazil
Armazém Coral Ltda	Armazém Coral - Calçadas 1	São José	Recife	PE	R	das Calçadas	174	50020290	R. das Calçadas, 174 - São José, Recife - Recife, Brasil	-8,0692435	-34,8791895	R. das Calçadas, 174 - São José, Recife - PE, 50020-290, Brazil
Armazém Coral Ltda	Armazem Coral - Candeias	Candeias	Jaboatão dos Guararapes	PE	Av	Pres. Kennedy	432	54430030	Av. Pres. Kennedy, 432 - Candeias, Jaboatão dos Guararapes - Jaboatão dos Guararapes, Brasil	-8,191593	-34,9209414	Av. Presidente Kennedy, 432 - Piedade, Jaboatão dos Guararapes - PE, 54420-331, Brazil
Armazém Coral Ltda	Armazém Coral - Estância	Estância	Recife	PE	Av	José Rufino	726/730	50780000	Av. José Rufino, 726/730 - Estância, Recife - Recife, Brasil	-8,0849106	-34,9278736	Av. Dr. José Rufino, 241 - Estância, Recife - PE, 50771-600, Brazil
Armazém Coral Ltda	Armazém Coral - Jangá	Jangá	Paulista	PE	Av	Claudio José Gueiros Leite	2071	53439000	Av. Claudio José Gueiros Leite, 2071 - Jangá, Paulista - Paulista, Brasil	-7,939553	-34,8252449	Av. Dr. Cláudio José Gueiros Leite, 2071 - Janga, Paulista - PE, 53437-000, Brazil
Armazém Coral Ltda	Armazém Coral - Norte	Casa Amarela	Recife	PE	Av	Miguel Arraes de Alencar	4741	52070660	Av. Miguel Arraes de Alencar, 4741 - Casa Amarela, Recife - Recife, Brasil	-8,0250701	-34,9083743	Av. Norte Miguel Arraes de Alencar, 4741 - Casa Amarela, Recife - PE, Brazil
Armazém Coral Ltda	Armazém Coral - Praia	Santo Antonio	Recife	PE	R	da Praia	103/111	52050310	R. da Praia, 103/111 - Santo Antonio, Recife - Recife, Brasil	-8,067498	-34,8769825	R. da Praia, 103 - Santo Antônio, Recife - PE, 50020-550, Brazil
Armazém Coral Ltda	Armazém Coral - Prazeres	Prazeres	Jaboatão dos Guararapes	PE	Av	Dr Júlio Maranhão	163	54320000	Av. Dr Júlio Maranhão, 163 - Prazeres, Jaboatão dos Guararapes - Jaboatão dos Guararapes, Brasil	-8,1608956	-34,9283942	Av. Dr. Júlio Maranhão, 163 - Prazeres, Jaboatão dos Guararapes - PE, 54340-740, Brazil
Armazém Coral Ltda	Armazém Coral - Tejipió	Tejipió	Recife	PE	Av	José Rufino	3460	50930000	Av. José Rufino, 3460 - Tejipió, Recife - Recife, Brasil	-8,0899029	-34,953077	Av. Dr. José Rufino, 3460 - Tejipio, Recife - PE, 50930-000, Brazil
Armazém Coral Ltda	Armazém Coral - Varadouro	Varadouro	Olinda	PE	Av	Sigismundo Gonçalves	78/92	53010240	Av. Sigismundo Gonçalves, 78/92 - Varadouro, Olinda - Olinda, Brasil	-8,0210645	-34,8529894	Av. Sigismundo Gonçalves, 78 - Varadouro, Olinda - PE, 53010-240, Brazil
Armazém Coral Ltda	Armazém Coral-Camaragibe 2	Nazaré	Camaragibe	PE	Av	Dr.Belmino Correia	148	54753000	Av. Dr.Belmino Correia, 148 - Nazaré, Camaragibe - Camaragibe, Brasil	-8,0199515	-34,9680953	R. Belmiro Corrêa, 148 - Caxangá, Recife - PE, Brazil
Armazém da Decoração Eireli	Armazém  da Decoração	Centro	Fraiburgo	SC	Av	Videira	1095	89580000	Av. Videira, 1095 - Centro, Fraiburgo - Fraiburgo, Brasil	-27,0188857	-50,9344235	Av. Videira, 1095 - BELA VISTA, Fraiburgo - SC, 89580-000, Brazil
